name,dataset,D,d,bits,mode,rep,code_bytes,threads,overquery,build_s,qps,recall,visited,qps_cv,train_s,encode_s,nvq_s,provider_s,log
cap-1M-b2-ash-r1,cap-1M,1536,768,2,ASH,1,197,48,2.0,,78168.15369319917,0.94435,1099.8606,0.552073063676741,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-ash-r1/query-48.log
cap-1M-b2-pq-r1,cap-1M,1536,768,2,PQ,1,197,1,1.0,234.99586654,2582.7721961649463,0.57832,725.6598,3.9486382814193726,17.339142317,4.496241169,0.495377823,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-pq-r1/query-1.log
cap-1M-b2-pq-r1,cap-1M,1536,768,2,PQ,1,197,1,2.0,234.99586654,2118.999904259021,0.78163,1010.7918,1.8779604116325714,17.339142317,4.496241169,0.495377823,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-pq-r1/query-1.log
cap-1M-b2-pq-r1,cap-1M,1536,768,2,PQ,1,197,48,1.0,,102157.77848107649,0.57832,725.6598,0.8520534403998001,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-pq-r1/query-48.log
cap-1M-b2-pq-r1,cap-1M,1536,768,2,PQ,1,197,48,2.0,,87196.68753139579,0.78163,1010.7918,0.6228168823421181,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-pq-r1/query-48.log
cap-1M-b4-ash-r1,cap-1M,1536,768,4,ASH,1,389,1,1.0,223.669037493,1968.8190491505034,0.86483,710.3348,6.406771306054616,7.937175314,6.870664075,0.512322427,3.287562,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-ash-r1/query-1.log
cap-1M-b4-ash-r1,cap-1M,1536,768,4,ASH,1,389,1,2.0,223.669037493,1757.2733497910124,0.95431,1021.7334,2.695601637716467,7.937175314,6.870664075,0.512322427,3.287562,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-ash-r1/query-1.log
cap-1M-b4-ash-r1,cap-1M,1536,768,4,ASH,1,389,48,1.0,,83224.75726728224,0.86483,710.3348,1.42150330749097,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-ash-r1/query-48.log
cap-1M-b4-ash-r1,cap-1M,1536,768,4,ASH,1,389,48,2.0,,63126.66771149495,0.95431,1021.7334,0.6423858748901395,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-ash-r1/query-48.log
cap-1M-b4-pq-r1,cap-1M,1536,768,4,PQ,1,389,1,1.0,428.719613174,2010.5628717956458,0.77078,724.1648,5.712025504481833,7.322717334,4.716799943,0.509658225,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-pq-r1/query-1.log
cap-1M-b4-pq-r1,cap-1M,1536,768,4,PQ,1,389,1,2.0,428.719613174,1642.1041956039842,0.93387,1033.019,1.6530978389723041,7.322717334,4.716799943,0.509658225,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-pq-r1/query-1.log
cap-1M-b4-pq-r1,cap-1M,1536,768,4,PQ,1,389,48,1.0,,88276.39085252174,0.77078,724.1648,1.814849190790097,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-pq-r1/query-48.log
cap-1M-b4-pq-r1,cap-1M,1536,768,4,PQ,1,389,48,2.0,,72320.63990408325,0.93387,1033.019,0.5961574242426309,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-pq-r1/query-48.log
cohere-english-v3-1M-b2-ash-r1,cohere-english-v3-1M,1024,512,2,ASH,1,133,1,1.0,131.540012311,4032.4153832742772,0.70528,884.6191,3.560891364246673,5.381116293,1.874303968,0.459574838,1.941501,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-ash-r1/query-1.log
cohere-english-v3-1M-b2-ash-r1,cohere-english-v3-1M,1024,512,2,ASH,1,133,1,2.0,131.540012311,2990.537197603152,0.88578,1323.1688,5.124065470263526,5.381116293,1.874303968,0.459574838,1.941501,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-ash-r1/query-1.log
cohere-english-v3-1M-b2-ash-r1,cohere-english-v3-1M,1024,512,2,ASH,1,133,48,1.0,,154673.1592239879,0.70528,884.6191,4.393186725468967,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-ash-r1/query-48.log
cohere-english-v3-1M-b2-ash-r1,cohere-english-v3-1M,1024,512,2,ASH,1,133,48,2.0,,114552.33144904207,0.88578,1323.1688,0.6570685869485251,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-ash-r1/query-48.log
cohere-english-v3-1M-b2-pq-r1,cohere-english-v3-1M,1024,512,2,PQ,1,133,1,1.0,202.056488632,3760.082855364721,0.66689,824.2477,2.4226242494143873,5.495381372,3.826856416,0.373458183,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-pq-r1/query-1.log
cohere-english-v3-1M-b2-pq-r1,cohere-english-v3-1M,1024,512,2,PQ,1,133,1,2.0,202.056488632,3004.8417879055482,0.8569,1200.9145,1.4786229125049466,5.495381372,3.826856416,0.373458183,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-pq-r1/query-1.log
cohere-english-v3-1M-b2-pq-r1,cohere-english-v3-1M,1024,512,2,PQ,1,133,48,1.0,,137651.87500685465,0.66689,824.2477,1.0614539879575466,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-pq-r1/query-48.log
cohere-english-v3-1M-b2-pq-r1,cohere-english-v3-1M,1024,512,2,PQ,1,133,48,2.0,,110493.6991190779,0.8569,1200.9145,1.8720195013611096,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b2-pq-r1/query-48.log
cohere-english-v3-1M-b4-ash-r1,cohere-english-v3-1M,1024,512,4,ASH,1,261,1,1.0,658.453734072,2914.921321324916,0.79959,829.839,18.87768723717277,4.541078397,2.222092598,0.357154296,2.160219,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b4-ash-r1/query-1.log
cohere-english-v3-1M-b4-ash-r1,cohere-english-v3-1M,1024,512,4,ASH,1,261,1,2.0,658.453734072,2318.7834081655997,0.91214,1232.4703,2.8346436633059775,4.541078397,2.222092598,0.357154296,2.160219,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b4-ash-r1/query-1.log
cohere-english-v3-1M-b4-ash-r1,cohere-english-v3-1M,1024,512,4,ASH,1,261,48,1.0,,130101.16171643394,0.79959,829.839,2.5756810774540098,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b4-ash-r1/query-48.log
cohere-english-v3-1M-b4-ash-r1,cohere-english-v3-1M,1024,512,4,ASH,1,261,48,2.0,,94805.88464088204,0.91214,1232.4703,0.0724673350571949,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b4-ash-r1/query-48.log
cohere-english-v3-1M-b4-pq-r1,cohere-english-v3-1M,1024,512,4,PQ,1,261,1,1.0,1224.670977507,3056.927847735833,0.73716,792.6989,5.354685894084355,5.670114916,3.275320129,0.362849512,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b4-pq-r1/query-1.log
cohere-english-v3-1M-b4-pq-r1,cohere-english-v3-1M,1024,512,4,PQ,1,261,1,2.0,1224.670977507,2296.056472237398,0.89174,1155.4997,5.725529209257075,5.670114916,3.275320129,0.362849512,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b4-pq-r1/query-1.log
cohere-english-v3-1M-b4-pq-r1,cohere-english-v3-1M,1024,512,4,PQ,1,261,48,1.0,,125649.75380191854,0.73716,792.6989,2.0450484393226622,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b4-pq-r1/query-48.log
cohere-english-v3-1M-b4-pq-r1,cohere-english-v3-1M,1024,512,4,PQ,1,261,48,2.0,,95476.75849465677,0.89174,1155.4997,0.24166504216312962,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cohere-english-v3-1M-b4-pq-r1/query-48.log
ada002-1M-b2-pq-r2,ada002-1M,1536,768,2,PQ,2,197,1,1.0,314.49511595,2748.769882268208,0.61087,761.9973,3.034200291066349,7.164817247,5.105142127,0.58527832,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-pq-r2/query-1.log
ada002-1M-b2-pq-r2,ada002-1M,1536,768,2,PQ,2,197,1,2.0,314.49511595,2215.193301397225,0.81207,1073.2808,1.0813312289988994,7.164817247,5.105142127,0.58527832,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-pq-r2/query-1.log
ada002-1M-b2-pq-r2,ada002-1M,1536,768,2,PQ,2,197,48,1.0,,95964.90321354134,0.61087,761.9973,2.651360702180009,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-pq-r2/query-48.log
ada002-1M-b2-pq-r2,ada002-1M,1536,768,2,PQ,2,197,48,2.0,,79740.98409975477,0.81207,1073.2808,3.040241779525206,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-pq-r2/query-48.log
ada002-1M-b2-ash-r2,ada002-1M,1536,768,2,ASH,2,197,1,1.0,148.462216427,1996.4088078542302,0.82806,743.1514,8.337650633903259,9.620892019,7.596049599,0.492858178,3.140455,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-ash-r2/query-1.log
ada002-1M-b2-ash-r2,ada002-1M,1536,768,2,ASH,2,197,1,2.0,148.462216427,1802.8315892472526,0.95985,1098.6193,1.3155639215124004,9.620892019,7.596049599,0.492858178,3.140455,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-ash-r2/query-1.log
ada002-1M-b2-ash-r2,ada002-1M,1536,768,2,ASH,2,197,48,1.0,,95056.34990344389,0.82806,743.1514,1.7700623107441582,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-ash-r2/query-48.log
ada002-1M-b2-ash-r2,ada002-1M,1536,768,2,ASH,2,197,48,2.0,,74802.08869227431,0.95985,1098.6193,0.14584232924624438,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-ash-r2/query-48.log
ada002-1M-b4-pq-r2,ada002-1M,1536,768,4,PQ,2,389,1,1.0,507.890157909,1820.6690398184126,0.78124,741.0503,30.736736316022316,7.278564002,4.93304114,0.600501602,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-pq-r2/query-1.log
ada002-1M-b4-pq-r2,ada002-1M,1536,768,4,PQ,2,389,1,2.0,507.890157909,1588.1010017830652,0.94098,1071.2316,14.340092833165679,7.278564002,4.93304114,0.600501602,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-pq-r2/query-1.log
ada002-1M-b4-pq-r2,ada002-1M,1536,768,4,PQ,2,389,48,1.0,,94582.40323816786,0.78124,741.0503,1.2108098886995722,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-pq-r2/query-48.log
ada002-1M-b4-pq-r2,ada002-1M,1536,768,4,PQ,2,389,48,2.0,,70449.31841046993,0.94098,1071.2316,0.701127293075968,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-pq-r2/query-48.log
ada002-1M-b4-ash-r2,ada002-1M,1536,768,4,ASH,2,389,1,1.0,228.410139478,1747.928265482728,0.88768,705.7386,1.8283062091639757,8.356441471,6.579782222,0.647681467,3.269243,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-ash-r2/query-1.log
ada002-1M-b4-ash-r2,ada002-1M,1536,768,4,ASH,2,389,1,2.0,228.410139478,1690.787299577052,0.96117,1030.419,0.5222633104861074,8.356441471,6.579782222,0.647681467,3.269243,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-ash-r2/query-1.log
ada002-1M-b4-ash-r2,ada002-1M,1536,768,4,ASH,2,389,48,1.0,,76915.82888351154,0.88768,705.7386,2.018428409914763,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-ash-r2/query-48.log
ada002-1M-b4-ash-r2,ada002-1M,1536,768,4,ASH,2,389,48,2.0,,59068.83275336893,0.96117,1030.419,0.42491432057404144,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-ash-r2/query-48.log
cap-1M-b2-pq-r2,cap-1M,1536,768,2,PQ,2,197,1,1.0,318.820383687,2538.509055353608,0.57475,737.8679,1.4309608739915773,15.680441056,4.578405703,0.490970401,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-pq-r2/query-1.log
cap-1M-b2-pq-r2,cap-1M,1536,768,2,PQ,2,197,1,2.0,318.820383687,2102.1416711961683,0.77755,1024.8805,2.2009318201309274,15.680441056,4.578405703,0.490970401,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-pq-r2/query-1.log
cap-1M-b2-pq-r2,cap-1M,1536,768,2,PQ,2,197,48,1.0,,96777.26308815173,0.57475,737.8679,2.5873596884050936,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-pq-r2/query-48.log
cap-1M-b2-pq-r2,cap-1M,1536,768,2,PQ,2,197,48,2.0,,84790.32448230755,0.77755,1024.8805,0.9254997826172315,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-pq-r2/query-48.log
cap-1M-b2-ash-r2,cap-1M,1536,768,2,ASH,2,197,1,1.0,154.184889795,2258.191054953794,0.79039,751.5542,23.759659693908986,9.027614868,6.660274635,0.508288027,3.013961,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-ash-r2/query-1.log
cap-1M-b2-ash-r2,cap-1M,1536,768,2,ASH,2,197,1,2.0,154.184889795,2052.5449317362495,0.94304,1096.9158,2.712071494538914,9.027614868,6.660274635,0.508288027,3.013961,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-ash-r2/query-1.log
cap-1M-b2-ash-r2,cap-1M,1536,768,2,ASH,2,197,48,1.0,,96253.66102754153,0.79039,751.5542,1.7058235542763742,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-ash-r2/query-48.log
cap-1M-b2-ash-r2,cap-1M,1536,768,2,ASH,2,197,48,2.0,,79043.16466879538,0.94304,1096.9158,0.2782425279737823,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-ash-r2/query-48.log
cap-1M-b4-pq-r2,cap-1M,1536,768,4,PQ,2,389,1,1.0,384.541696496,1997.0962184856235,0.77117,721.4095,18.76226207864229,7.772478911,4.729168092,0.584808812,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-pq-r2/query-1.log
cap-1M-b4-pq-r2,cap-1M,1536,768,4,PQ,2,389,1,2.0,384.541696496,1628.2176350293066,0.93402,1029.0857,15.060018096648184,7.772478911,4.729168092,0.584808812,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-pq-r2/query-1.log
cap-1M-b4-pq-r2,cap-1M,1536,768,4,PQ,2,389,48,1.0,,93982.41166067754,0.77117,721.4095,2.0385129815211256,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b4-pq-r2/query-48.log
